,Item,Year,Unit,Quantity
0,"Abaca, manila hemp, raw",2000,tonnes,95656.0
1,"Abaca, manila hemp, raw",2001,tonnes,100049.0
2,"Abaca, manila hemp, raw",2002,tonnes,91197.0
3,"Abaca, manila hemp, raw",2003,tonnes,99922.0
4,"Abaca, manila hemp, raw",2004,tonnes,107280.0
5,"Abaca, manila hemp, raw",2005,tonnes,105311.0
6,"Abaca, manila hemp, raw",2006,tonnes,99928.0
7,"Abaca, manila hemp, raw",2007,tonnes,100503.0
8,"Abaca, manila hemp, raw",2008,tonnes,102397.0
9,"Abaca, manila hemp, raw",2009,tonnes,100117.0
10,"Abaca, manila hemp, raw",2010,tonnes,101643.0
11,"Abaca, manila hemp, raw",2011,tonnes,104666.0
12,"Abaca, manila hemp, raw",2012,tonnes,104784.0
13,"Abaca, manila hemp, raw",2013,tonnes,102062.0
14,"Abaca, manila hemp, raw",2014,tonnes,106433.0
15,"Abaca, manila hemp, raw",2015,tonnes,108358.0
16,"Abaca, manila hemp, raw",2016,tonnes,107284.0
17,"Abaca, manila hemp, raw",2017,tonnes,106690.0
18,"Abaca, manila hemp, raw",2018,tonnes,106408.0
19,"Abaca, manila hemp, raw",2019,tonnes,106107.0
20,"Abaca, manila hemp, raw",2020,tonnes,106114.0
21,"Agave fibres, raw, n.e.c.",2000,tonnes,50163.0
22,"Agave fibres, raw, n.e.c.",2001,tonnes,48668.0
23,"Agave fibres, raw, n.e.c.",2002,tonnes,49855.0
24,"Agave fibres, raw, n.e.c.",2003,tonnes,50062.0
25,"Agave fibres, raw, n.e.c.",2004,tonnes,53301.0
26,"Agave fibres, raw, n.e.c.",2005,tonnes,51981.0
27,"Agave fibres, raw, n.e.c.",2006,tonnes,48914.0
28,"Agave fibres, raw, n.e.c.",2007,tonnes,48225.0
29,"Agave fibres, raw, n.e.c.",2008,tonnes,46866.0
30,"Agave fibres, raw, n.e.c.",2009,tonnes,45848.0
31,"Agave fibres, raw, n.e.c.",2010,tonnes,44704.0
32,"Agave fibres, raw, n.e.c.",2011,tonnes,43753.0
33,"Agave fibres, raw, n.e.c.",2012,tonnes,40965.0
34,"Agave fibres, raw, n.e.c.",2013,tonnes,41465.0
35,"Agave fibres, raw, n.e.c.",2014,tonnes,41588.0
36,"Agave fibres, raw, n.e.c.",2015,tonnes,40797.0
37,"Agave fibres, raw, n.e.c.",2016,tonnes,40519.0
38,"Agave fibres, raw, n.e.c.",2017,tonnes,41183.0
39,"Agave fibres, raw, n.e.c.",2018,tonnes,41036.0
40,"Agave fibres, raw, n.e.c.",2019,tonnes,40923.0
41,"Agave fibres, raw, n.e.c.",2020,tonnes,41114.0
42,"Almonds, in shell",2000,tonnes,1452206.0
43,"Almonds, in shell",2001,tonnes,1552539.0
44,"Almonds, in shell",2002,tonnes,1849683.0
45,"Almonds, in shell",2003,tonnes,1772632.0
46,"Almonds, in shell",2004,tonnes,1610176.0
47,"Almonds, in shell",2005,tonnes,1848472.0
48,"Almonds, in shell",2006,tonnes,2084656.0
49,"Almonds, in shell",2007,tonnes,2290028.0
50,"Almonds, in shell",2008,tonnes,2475263.0
51,"Almonds, in shell",2009,tonnes,2416428.0
52,"Almonds, in shell",2010,tonnes,2575821.0
53,"Almonds, in shell",2011,tonnes,3078565.0
54,"Almonds, in shell",2012,tonnes,2913106.0
55,"Almonds, in shell",2013,tonnes,2954074.0
56,"Almonds, in shell",2014,tonnes,2741710.0
57,"Almonds, in shell",2015,tonnes,2696057.0
58,"Almonds, in shell",2016,tonnes,2860420.0
59,"Almonds, in shell",2017,tonnes,3064304.0
60,"Almonds, in shell",2018,tonnes,3271630.0
61,"Almonds, in shell",2019,tonnes,3561825.0
62,"Almonds, in shell",2020,tonnes,4140043.0
63,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2000,tonnes,382767.0
